patent_abstract,patent_date,patent_number,patent_title
"The present invention relates to a baseball swing trainer. In a first embodiment, a ball is pivotally attached to a vertical arm which is slidably attached to an oblique arm, the oblique arm is attached to a horizontal arm which is attached to a support structure; the vertical arm is contained within a first and second guide arm; a stopping member is attached to a first end of the oblique arm and a stopping bar is attached to a second end of the oblique arm such that when the ball is struck, the ball pivots on the vertical arm as the vertical arm slides up the oblique arm, striking the stopping bar and thereafter sliding back down the oblique arm to return to its starting position cradled within the stopping member. The travel path of the ball provides instantaneous feedback as to the quality of the swing.",2006-11-07,7131916,Baseball swing trainer
The unitary structure includes a rear frame member from which oppositely disposed side frame members extend forwardly. Laterally extending forward frame members are provided on the side frame members to define batting boxes for left and right hand batters. A pair of upstanding spaced apart posts are mounted on the rear frame member and include a center line extending forwardly through the strike zone. The guidepost adjacent the batter helps to define a swing path.,2003-06-17,6579195,Baseball swing trainer device
"A swing training device comprises a swing guide, a mount adapted to position the swing guide at a height above the ground selected by a user and a swing implement comprising a handle portion for gripping by a user. The first channel has a rearward end cooperating with a rearward end of the second channel, the second channel positioned angularly with respect to the first channel. The first and second channels also have a lateral opening extending generally along their length. The swing implement includes a connector portion mounted to the swing implement generally adjacent to the handle portion and has a distal end thereon.",2012-04-03,8147357,Baseball swing trainer device and method
A baseball bat swing training aid includes a housing configured for storing a plurality of balls therein. A ball positioning mechanism is disposed within the housing and includes an arm selectively extendable out of the housing. A ball holder is disposed on an end of the arm. The baseball bat swing training aid further includes a mechanism for removably yet securely fixing the ball positioning mechanism within the housing.,2009-03-31,7510491,Baseball swing training aid
"A baseball swing training aid includes a housing and a lid for retaining a batting tee in a first or storage configuration and in a second or use configuration. In the first configuration, the batting tee is stowable on an underside of the lid such that the tee does not interfere with the lid's attachment to the housing. In the second configuration, the batting tee base attaches to a slot formed in the lid to extend the tee upwardly for baseball swing training. Accordingly, the tee is easily changeable between the first and second configurations for fast setup, storage or transportation.",2010-03-09,7674194,Baseball swing training aid
None,2017-06-20,D790017,Baseball swing training aid
"A sports swing training apparatus (10) for temporarily immobilizing a users back foot except for pivotal movement; wherein, the apparatus (10) comprises a base member (20) rotatably secured to a platform member (40); and, releasable securing means (50) operatively and detachably securing the user foot to said platform member (40) for teaching the user the proper swing technique for baseball, softball and golf.",1994-06-07,5318290,Baseball swing training apparatus
"A baseball swing training apparatus including that enables a batter to determine whether his swing followed the proper principles for hitting or batting. Oriented for use by both right-handed and left-handed batters it is intended to teach batters how their wrists should react in order to most effectively hit a ball. This generally baseball bat shaped apparatus includes a swing indicator disposed inside the barrel, which impacts one of four impact points producing an audible response when a swing is performed correctly. An incorrect swing produces no audible response.",2005-08-02,6923737,Baseball swing training apparatus
A baseball swing training device that is operable to teach an improved baseball swing plane wherein the baseball swing training device is tiltably adjustable in a first direction and a second direction. The baseball swing training device further includes a base member having a telescoping support arm extending upward therefrom. Secured to the telescoping support arm is an upper frame assembly that includes a support arm that is u-shaped. An upper bat guide member and a lower bat guide member are secured to the support arm and are parallel in configuration having a void therebetween. A pair of ball grip members are mounted intermediate the lower bat guide member and upper bat guide member. A speed sensor is present and is operable to detect the speed of either the ball or the bat during use of the baseball swing trainer and display the speed on a LCD screen.,2015-06-23,9061190,Baseball swing training apparatus
"A swing training apparatus for baseball or softball that suspends or propels a tethered ball to be hit by a batter. The apparatus includes two elongated vertically spaced apart cords disposed, one above the other, connected at opposed ends to vertical upright members to extend therebetween relative to a horizontal axis in a taut tightly stretched or drawn condition. One or both cords may be formed of elastic material and may extend between the uprights generally parallel to, or slightly angularly relative to, the horizontal axis. A ball trolley with a practice ball is movably supported vertically between the two elongate cords. The ball trolley includes two pulleys, each mounted on a respective elongate cord in vertically opposed relation, and a practice ball is captured between and attached to the pulleys.",2018-02-13,9889360,Baseball swing training apparatus
None,2014-04-15,D702781,Baseball swing training bat
"Baseball swing training apparatus having elongate base member and forward stop member, step member and connecting member extending laterally therefrom. Pivot stop member extends rearward from connecting member. Baseball swing training apparatus having elongate base member with forward member and rear member slidably engaged thereto. A forward stop member and a step member extend laterally from the forward member. A connecting member extends laterally from the elongate base member. A pivot stop member extends rearward from the connecting member. Means such as pins, holes, latches and the like secure the forward member in longitudinal position and the connecting member in transverse position. A method of teaching a batter to swing a bat including providing an apparatus having elongate base member and forward stop member, step member and connecting member extending laterally therefrom is also disclosed.",2010-08-17,7775914,Baseball swing training device
"A swing training device. A plurality of legs is pivotally connected to a base. A bottom support tube is rigidly connected to the base. A height adjustment tube is inserted into the bottom support tube. The height of the height adjustment tube is controlled by a height adjustment controller. A lower band holder is rigidly connected to the upper end of the height adjustment tube. A band tube is positioned between the lower band holder at its lower end and an upper band holder at its upper end. A plurality of elastic bands are connected between the lower band holder and the upper band holder. A pivot piece is rigidly connected to the upper band holder. A rotation stick having a hittable ball is pivotally connected to the pivot piece. The bottom support tube, the height adjustment tube and the band tube form a rotation axis. When a user hits the ball then the ball and the rotation stick rotate about the rotation axis in an initial rotation direction causing the elastic bands to stretch and wrap around the band tube. The elastic bands then act as a spring causing the ball and rotation stick to rotate back in an opposite direction to simulate a pitch to the user so that the user can hit again. For easy transport and storage, the rotation stick pivots downward and the legs pivot upwards so that they are all parallel with the rotation axis.",2013-09-17,8535179,Baseball swing training device
"A baseball swing training device includes a rear foot pivot limiting mechanism, wherein the rear foot pivoting mechanism includes a rotating element and a rotation limiting element. The rear foot pivot limiting mechanism may be adapted to limit the rotation of a user's pivot foot to a prescribed degree of rotation and communicate to the user when the prescribed degree of rotation has been completed. The baseball swing device may further include a foldable base including two positions at which the adjustable rear foot pivot limiting mechanism may be implemented, wherein the first position is adapted for use by a right handed hitter and the second position is adapted for use by a left handed hitter.",2013-12-31,8617009,Baseball swing training device
None,2008-05-27,D569943,Baseball swing training device
None,2013-10-15,D691680,Baseball swing training device
NULL,1996-09-03,D373396,Baseball swing-training device
NULL,1998-01-13,D389196,Baseball table game
None,2011-11-22,D649207,Baseball target
"An apparatus for use in practicing the fundamentals of baseball is provided. The apparatus includes an opening for accepting and capturing baseballs thrown at the apparatus. The opening is covered by a number of vertical flaps, behind which is a padded backstop. The flaps are colored appropriately to designate a typical strike zone. A pitchback machine is provided to propel baseballs from the apparatus. A ball holding tray is positioned beneath the opening and backstop to accumulate thrown balls or to retain a reservoir of balls. A motor-driven spinner plate is situated integral to the holding tray for circulating the balls resting therein and for facilitating the movement of the balls to an outlet path. The holding tray outlet path leads to a motor-driven helical auger. The auger conveys the balls from the outlet path to the pitchback machine. The apparatus may include a channel member adapted to receive balls from the auger, the channel member having a shut off switch for controlling a flow of balls down its length. An adjustable ball stop is positioned adjacent to the channel member at a distance sufficient for presenting the balls to the pitchback machine. The driven components of the apparatus, including the shut off switch and auger, are electrically coordinated such that when one ball is released down the channel member to the pitchback machine, the auger is activated so as to convey another ball to the channel member. The apparatus may also be supported upon a transportable frame for ready movement from one location to another.",1997-02-04,5599017,Baseball target and projector apparatus
A device for teaching a proper batting swing to a baseball or softball player has a base and a forward pole together with two rear poles secured to the base. The forward pole and two rear poles are adjustable in height. Each rear pole is adapted to support a lightweight ball and the forward pole is adapted to support a softball or baseball. The poles are positioned substantially at the same vertical height to define a plane in which a bat swung by a player must travel to contact all three balls placed in the poles.,1984-06-26,4456250,Baseball teaching device
A technology for playing baseball is provided. The technology enables real-time baseball gameplay between a first team associated with a first baseball field and second team associated with a second baseball field.,2016-01-12,9233294,Baseball technologies
NULL,1999-10-26,D415805,Baseball tee
None,2012-08-21,D665862,Baseball tee
A baseball is connected by a rope to a swivel at a top end of a pole that has its bottom end anchored to the ground.,1997-01-14,5593154,Baseball tethened ball training apparatus
"This is a display device made from a baseball bat that has been cut into sections, spools, and slats. The spools and slats are re-assembled in such a way that the fact that the display device is constructed from baseball bat parts is not lost on the casual observer.",2006-02-14,6996927,Baseball theme display device
None,2008-03-04,D563146,Baseball themed barbecue grill
None,2009-09-01,D599157,Baseball themed beverage dispenser
None,2010-01-05,D607247,Baseball themed double dispenser
None,2014-04-29,D703734,Baseball themed hand clap maraca
None,2010-01-12,D607675,Baseball themed single dispenser
None,2013-01-22,D674580,Baseball themed sport sandal
None,2010-09-14,D623437,Baseball themed table
None,2010-09-14,D623438,Baseball themed table
None,2008-01-29,D560743,Baseball themed tent
"A baseball or softball (B) throwing aid (10) for teachings players, particularly young players the proper mechanics for throwing a ball. The aid includes a rod or bar (12) projecting from each side of the ball. One half of each rod or bar is one color (G) and the other half a different color (R). The throwing practice aid teaches the player to get their thumb in the correct position before they throw the ball. If a thrower doesn't have their thumb facing the correct way before throwing the ball, they are pulling and pushing the ball instead of throwing it.",2015-09-15,9132329,Baseball throwing aid
"The baseball throwing device is used for training arm muscles associated with throwing by simulating the throwing motion; is used for developing the arm muscles associated with throwing by doing strengthening exercises; and is used for rehabilitating the muscles associated with throwing by doing rehabilitation exercises. The apparatus includes an elastic band or bands, depending on the tension desired, which are attached at one end to a hand frame with a ball included, and the other end of the elastic band/s is attached to a harness. To use, the harness is attached to any stationary object that a canvas harness can be wrapped around, such as a tree or post. Then grab the baseball hand frame and walk away from the harness therefore stretching the elastic bands to a comfortable tension. Then begin workout by simulating the throwing motion or by doing strengthening or rehabilitating exercises.",1993-10-05,5250016,"Baseball throwing device for muscle development, rehabilitation and training"
"A baseball throwing practice target device is comprised of a series of selectively rotated and stacked block members which are removably engaged upon a generally vertically extending upright structure secured to a weighted base plate. The block members have various target design patterns applied to the faces thereof, thereby providing a versatile arrangement in which the target height, area and specific location can be selected as desired for differently sized and skilled players.",1980-05-27,4204677,Baseball throwing practice target
"A pitching/throwing device comprising a first ball, a second ball, and connector for connecting the first and second balls to each other. In the preferred embodiment, the balls are standard baseballs and the connector comprises a dowel screw. During use, the student holds the device by either ball and grips the ball in the appropriate manner for the pitch being thrown. Then, depending on the pitch to be thrown, the student flips or throws the ball to another while trying to impart the appropriate rotation to the ball. Because of the changed center of gravity resulting from the interconnection of the two balls, the act of imparting the desired rotation is made easier and the rotation of the ball is readily observable. This process is performed in several steps to first focus on the appropriate wrist/hand action and then to focus on the full arm delivery. The device can also be used by the student alone, by flipping the ball into the air while imparting the appropriate rotation to the ball.",1998-04-28,5743808,Baseball throwing trainer
NULL,2002-11-12,D465334,Baseball toothbrush
"A spring loaded arm mechanism is incorporated into a baseball home plate support for tossing a regulation or practice baseball, from ground level, upwardly into the batter's strike zone. A ball launching arm, arm bias spring, arm latch and a release are all arranged in a compact, low-profile unit flush with or just slightly protruding above the home plate support. The arm is cocked, using an arm engaging hand tool, by rotating a ball launching arm end downwardly against the biasing into a latched position. After positioning the baseball, the latch is released, either by the batter or by another via a remotely actuated release, to cause the sprung arm to rotate with great force through a limited arc, propelling the baseball vertically up into the strike zone. A practice embodiment includes a lever arm release actuated by the operator's bat and may further include an elastic ball return tethering cord having an in-line swivel to relieve line twisting. A game play embodiment mounts the arm and spring unit below the upper plane of the home plate support which has an opening for receiving and launching the ball, such that the spring loaded mechanism remains safely out of the way for base running.",1988-10-18,4778177,Baseball toss-up apparatus for batting practice and game play
"This invention relate to a batting practice apparatus wherein a ball toss-up device is positioned remote from a caged target. The ball toss-up device includes a vertically extending cylindrical tube having therein a cylindrical piston for movement along the longitudinal axis thereof. A coil spring is placed between the lower end of the piston and the bottom of the tube for biasing the piston upwards. A pedal arm is extended through a longitudinal slot in the wall of the cylinder and having one end attached to the piston, whereby a player can manually urge the piston downward against the bias of the spring. A releasable latch is provided to hold the piston in the downward position until manually released by a player to cause a ball to be projected into the air to be hit by a player. An inclined trough is provided between the target and the ball toss-up device for automatically guiding balls to the toss-up device after hitting the target.",1996-01-23,5485994,Baseball tossup device
NULL,1992-04-28,D325760,Baseball toy figure
None,2012-08-14,D665467,Baseball toy figure with blanket
""" A baseball trainer includes a target apparatus set at a predetermined distance from a practicing ballplayer. The target apparatus includes a plurality of panels for indicating a """"strike"""" or a """"ball"""" which indication is communicated to a microcomputer in a console adjacent to the practicing player. The target apparatus is associated with an adjacent catching apparatus and ball return apparatus for returning the ball to the player. The player pitches from a pitching rubber which includes a switch for providing a start signal when the player shifts the weight off of his back foot at the instant the ball is pitched toward the target apparatus. The start time, together with a stop time generated by the """"strike"""" or """"ball"""" panels, can be used by the microcomputer to generate an elapsed time which together with the known distance is used to calculate the speed of the pitch and which is then audibly reported to the practicing player. Alternatively, the trainer can be used without a pitching rubber in a fielding mode wherein a start signal is generated when the ball return apparatus propels the ball toward the practicing player. The player then catches the ball and throws it back to the target apparatus and a fielding time is calculated. """,1996-10-22,5566934,Baseball trainer
"A baseball training aid is provided which includes an audio or visual pitch indicator for simulating a baseball pitcher's pitch. The training aid further includes an impact sensor, preferably in the form of a microphone, for detecting whether a practicing batter's swing is timely, premature or late. The audio signals produced by the microphone are processed by a processor to determine the timeliness of the batter's swing. The results are then communicated to the batter using an audio or visual feedback indicator.",2011-02-22,7892116,Baseball training aid
None,2013-04-23,D680600,Baseball training aid
None,2016-09-20,D767055,Baseball training aid
None,2016-12-06,D773578,Baseball training aid
None,2014-04-15,D702779,Baseball training aid with positionable target
"A baseball training and exercise device includes a base, a first columnar support and a second columnar support telescopically positioned within the first support. The exercise device also includes a first arm having a first end coupled to the second support. The arm extends radially outward from the second support. A resiliently supported ball portion is positioned to extend beyond a second end of the arm. The resiliently supported ball portion provides resistance against a baseball bat or the like contacting the ball portion of the baseball training and exercise device.",1996-12-10,5582403,Baseball training and exercise apparatus
"A baseball training apparatus includes a body, a drive assembly connected to the body, the drive assembly configured to impart motion on to the ball, a ball interface device connected to the body, the ball interface device configured for movement between a first position in which the ball engages the drive assembly and a second position in which the ball is prevented from engaging the drive assembly, and a control system operably coupled to the ball interface device, the control system interacting with the ball interface device such that the ball interface device changes between first and second positions at a predetermined time interval for a predetermined duration. The control system applies the signal to the ball interface device at a predetermined frequency. A ball feeder tube removably connects to the body, the ball feeder tube configured to hold the balls and a ball projection means connected to the body, the ball projection means configured for projecting a ball upward from the body. A baseball training set includes a plurality of balls, a body, a drive assembly connected to the body, a ball interface device connected to the body, a control system coupled to the ball interface device to apply a signal to the ball interface device and a ball feeder tube.",2002-09-03,6443859,Baseball training apparatus
"A device for training a baseball pitcher has a baseball catching element operative for catching a baseball, a baseball throwing element operating for throwing a caught baseball in accordance with a catapult principle, and a drive connecting with the baseball throwing element and actuating the baseball throwing element when the baseball is received by the baseball throwing element.",2003-02-11,6517452,Baseball training apparatus
"A baseball training apparatus includes a bat mounting portion mountable on a barrel of a baseball bat, and a glove mounting portion attachable to a baseball glove. The glove mounting portion is connected to the bat mounting portion. The bat mounting portion may include an elongated, flexible, mounting strap including a hook-and-loop fastener. The glove mounting portion may include at least one elongated, flexible connector strap extending outwardly from opposite edges of the mounting strap and including a hook-and-loop fastener. The baseball training apparatus mounts the baseball glove on the baseball bat.",2014-05-20,8727914,Baseball training apparatus
"A baseball training apparatus occludes peripheral vision of each eye across the nose region of a baseball player by creating a visual divide that extends from and immediately adjacent to the nose along the central sagittal plane. In various embodiments, the visual divide is extendible, removable and replaceable, pivotal, and may incorporate scribes to vary shape or geometry. The visual divide may further be mounted from a pair of glasses without lenses, though other embodiments with and without lenses are contemplated. The eye divider is used to align or confirm alignment of a baseball player properly with the pitcher, to ensure that the batter has both eyes facing the pitcher.",2016-03-22,9289666,Baseball training apparatus
"A sports training device attached to the shaft of a swinging sports apparatus, such as a golf club, tennis racket, baseball bat, hockey stick, or other sports apparatus that is intended to be swung while playing a sport. The device includes proximal and distal attachment mechanisms, where the proximal attachment mechanism is disposed at the proximal end of the device and the distal attachment mechanism is disposed between the proximal and distal ends of the device. A stiffener element is disposed at the distal end of the device, and a drag chute is secured to each end of the device. An elongated rod extends along each side of the panel between the proximal attachment mechanism and the stiffener element. The proximal attachment mechanism is secured to the sports apparatus; the distal attachment mechanism is disposed semi-freely around the sports apparatus. The training device rotates about the sports apparatus in synchronization.",2017-05-02,9636560,Baseball training apparatus
"A baseball training apparatus occludes peripheral vision of each eye across the nose region of a baseball player by creating a visual divide that extends from and immediately adjacent to the nose along the central sagittal plane. In various embodiments, the visual divide is extendible, removable and replaceable, pivotal, and may incorporate scribes to vary shape or geometry. The visual divide may further be mounted from a pair of glasses without lenses, though other embodiments with and without lenses are contemplated. The eye divider is used to align or confirm alignment of a baseball player properly with the pitcher, to ensure that the batter has both eyes facing the pitcher.",2013-08-20,8512172,Baseball training apparatus and method
"A baseball training apparatus occludes peripheral vision of each eye across the nose region of a baseball player by creating a visual divide that extends from and immediately adjacent to the nose along the central sagittal plane. In various embodiments, the visual divide is extendible, removable and replaceable, pivotal, and may incorporate scribes to vary shape or geometry. The visual divide may further be mounted from a pair of glasses without lenses, though other embodiments with and without lenses are contemplated. The eye divider is used to align or confirm alignment of a baseball player properly with the pitcher, to ensure that the batter has both eyes facing the pitcher.",2014-06-10,8747260,Baseball training apparatus and method
NULL,1991-02-12,D314599,Baseball training article
"A baseball training bat for use in teaching a baseball player to snap his wrist when swinging at a baseball. The bat is sawn through at its intermediate portion, and the two parts thereof are hingedly connected together at the rear portion of the bat. If the baseball player snaps his wrists while swinging the bat, the top segment of the bat will rapidly rotate towards the lower portion of the bat so as to strike such lower portion with an audible noise.",1985-04-16,4511139,Baseball training bat
A bat has a generally uniform outside diameter from its handle through its extension from the handle through to its opposite end. The outside of the bat beyond the handle is polished and it has an interior cavity. Reinforcing is providing in the cavity to increase resistance of the bat to bending upon impact. The reinforcing and bat body proper combine to attribute swing weight and feel to the bat which approximates that of a conventional flared bat.,1987-07-28,4682773,Baseball training bat
The present baseball training bat is comprised of a hollow tube with a handle portion and a hitting portion. The hitting portion is substantially smaller in diameter than that on a conventional baseball bat for improving swing accuracy. The distal end of the tube has an internal thread. Interchangeable threaded weight plugs of different lengths and weights are provided. The weight of any selected conventional bat can be closely simulated by installing in the distal end of the tube a suitable plug to produce substantially the same total weight. The plugs are also provided in materials of different densities. A plug in a denser material is shorter than another plug of the same mass but in a less dense material. The balance of the bat is thus changeable without changing the total weight by substituting plugs of the same mass but of different densities and lengths.,2005-07-19,6918843,Baseball training bat
"One embodiment of the present baseball training bat is comprised of a hollow tube with a handle portion and a knob attached at the proximal end. A hitting portion is attached at the distal end of the tube that provides two elongated, opposed striking surfaces that are narrower than the striking surface of a conventional baseball bat, and are offset from the axis for improving swing accuracy and wrist control. The relative weights of the components combine to produce a training bat that is substantially similar in overall weight and balance to a conventional baseball bat. The face of each narrow striking surface is substantially similar in convexity to the striking surface of a conventional baseball bat, thereby providing a familiar feel and sound to the hitter when used to hit a ball.",2012-10-09,8282510,Baseball training bat
NULL,1998-08-25,D397385,Baseball training bat
A baseball bat which includes one or more colored bands with transferrable colored pigments in or adjacent to the hitting zone to assist a batter in determining where a ball is hit on the hitting zone of the bat. The colored bands on the bat have a color pigment that will mark the ball when hit. The marked ball will provide an indication of where the bat impacted the ball. This information can be used to better train the players in hitting the balls.,2000-04-04,6045465,Baseball training bat with colored transferable bands
A baseball training device that is worn upon a fielder's glove hand for aiding the wearer in developing proper fielding skills. The device has a thick triangular shaped pad that encompasses the entire hand. Webbing on the back surface of the pad encircles the thumb and first three fingers of the glove hand to position the apex of the pad over the wearer's wrist and the base leg of the pad extended beyond the wearer's fingertips. The pad is comprised of a resilient material that will deform upon being struck by a ball over the heel region of the hand to provide the ball sufficient residency time on the pad to enable the wearer to bring his or her or other hand over the ball and thus complete the catch. Balls striking the pad in other areas are provided little or no residency time and are thus more difficult to field.,1989-02-07,4802669,Baseball training device
"The invention relates to a baseball teaching device that allows to develop striking skills of a player by emulating a force with which a ball travels before being hit by a player. The device has a frame mountable on a horizontal surface, an upright pole extending from the base and a baseball support arm extending traversely to the pole when the device is in use. The baseball support member is a flexible resilient plate that offers the necessary resistance to a striking force exerted by the player when the baseball is hit by a bat. An optional resilient insert is embedded into the body of the plate to increase resistance to the striking force by making the plate less flexible.",2000-02-29,6030299,Baseball training device
"A mobile practice device for practicing the swinging motion of a baseball bat includes a holding apparatus (14) and strike zone restriction apparatus (16), the strike zone restriction apparatus (16) being supported by and maintained at a distance from and underlying ground surface by the holding apparatus (14). The strike zone restriction apparatus (16) includes a vertical side wall that restricts the swing of the baseball bat (12) by a practicing batter (18).",2003-12-23,6666781,Baseball training device
"A training device for batters which provides a visual and sensual indication to the batter that her or she is experiencing one of several swing defects, comprising a series of flexible standards about the perimeter of a proper swing plane leading the batter to make contact with a ball at an imaginary plate.",2005-04-12,6878077,Baseball training device
"The baseball training device provides a framed net for capturing thrown balls, especially baseballs. The frame is sturdily supported by stanchions that include upwardly extended sections for additional support. The fasteners are fastened to the frame sides. The device includes a substantially centrally disposed target box. The target box is supported by spaced apart uprights. The uprights feature orifices and the target box, ears, whereby keepers may be passed from the ears into a given set of upright orifices to thereby adjust the vertical positioning of the target box. The device provides padded horizontal members that are fitted as desired, one atop another, in order to effectively shorten the box height and thereby establish a smaller target for a thrower.",2013-09-24,8540593,Baseball training device
"A portable training apparatus for assisting a user in developing ball batting skills is provided for use by either right or left handed batters. The apparatus releasably attaches to an existing structure, such as a chain-link fence. A post has a foot and a plurality of stabilizing members for attaching the post to a fence. A rotational means supplies the user a ball to hit.",2016-03-22,9289665,Baseball training device
None,2009-10-20,D602553,Baseball training device
"A baseball training system to teach proper swing technique comprising a first tee adapted to support a baseball and a second tee adapted to support a baseball, a tee support configured to hold the first tee and a second tee vertically and separated from each other by a horizontal distance, d, a rod, and a belt configured to be worn around a user's stomach and to hold the rod in an approximate horizontal position across the front of the user's stomach.",2012-11-06,8303439,Baseball training device and method
"A training device for throwing a baseball includes a plate assembly that is pivotally connected to a support member. The plate assembly includes a flat, rectangular balance plate and a sleeve disposed transversely across the bottom surface of the balance plate. The support member includes an elongated support arm on which the sleeve is adapted to teeter and a generally T-shaped strike plate connected to the support arm. In use, the training device can be used in the following manner to train a pitcher to exert maximum rear leg drive while throwing a baseball. Specifically, the training device is disposed on a flat, level flooring surface such that the plate assembly teeters on the support member. The pitcher then centers his rear foot on the balance plate and lifts his front knee. At this time, the pitcher drives his rear knee forward until the balance plate pivots forward and contacts the strike plate which in turn generates an audible signal. With the majority of the body weight of the pitcher displaced behind his rear knee, the pitcher begins his delivery. Because the pitcher is able to use the majority of his body weight to power his delivery, the pitcher is able to throw the baseball with greater velocity and with less strain exerted on his pitching arm.",2009-02-10,7488265,Baseball training device and method of using the same
"This present invention is a baseball training device for practicing hitting, comprising a swing member supporting either a ball member or a weighted ball member comprising a ball member attached to a weighted member by an elastic member. The swing member, supported by a base member, is restored to its equilibrium position in hitting practice mode by gravity. As the weighted member is always suspended in air in hitting practice mode, its tension restores its ball member to its equilibrium position. The oscillation of the swing member aids in the dissipation of force imparted to the device in hitting practice mode, making the device stable and stationary, portable and lightweight.",2014-08-26,8814727,Baseball training device for practicing hitting
A sport training device which has a pair of straps which are secured around the user's ankles. The straps are connected by a resilient band and the straps have a tab which folds over the strap to secure the straps and prevent accidental disengagement of the straps.,1998-11-24,5839978,Baseball training device for proper hitting movement sequence
"The invention concerns a partially inflexible device which may be worn as a glove by one attempting to increase his glove/hand reaction time proficiency in the baseball skills of catching, fielding and catch/throw agility. It also may be used by an instructor or coach in demonstrating or teaching those skills to players of any skill level. The glove has the palm portion thereof made inflexible whereby a user cannot flex the palm to catch a ball by squeezing it with his glove hand. Instead, the user is forced to use his free hand to trap a ball between the inflexible palm of the glove and the free hand. The inflexible palm portion of the glove can be integrally formed with the glove; it can be an insert, permanently secured into a pocket of the glove; or it can be an insert which can be easily inserted into and removed from a pocket of the glove.",1978-10-24,4121824,Baseball training glove
None,2011-03-15,D634385,Baseball training mat
"A method for training a baseball trainee in the art and science of batting a baseball. The method comprises (a) simulating the ideal swing of a baseball bat, and (b) communicating to the brain of the trainee the muscular sensations felt by the trainee during the simulated ideal swing.",1994-06-07,5318291,Baseball training method
None,2009-06-30,D595382,Baseball training plate
A baseball training system and method for training a player is shown. The baseball system and method includes a collector for collecting thrown balls and directing them to a throwback unit which has multiple adjusters for adjusting various characteristics of a ball being thrown back. The throwback unit can be adjusted to accommodate different ball sizes to change a trajectory of a ball being thrown back by the throwback unit.,2006-06-27,7066845,Baseball training system and method
None,2010-04-27,D614449,Baseball tray plate
"A baseball trivia game for learning baseball trivia. The baseball trivia game includes a game board having a top surface having a generally rectangular shape. The top surface has a game path thereon including a plurality of game spaces. The game path generally resembles a baseball diamond. A plurality of game pieces is provided. Each of plurality of trivia cards has a first side and second side. Each of the first sides has a different baseball trivia question thereon, and each of the second sides has an answer thereon relating to the trivia question on a respective the first side. The players answer in turn one of the trivia questions and moves their respective game pieces the number of game spaces indicated by the movement indicia if the player answers the trivia question correctly and wins by moving their game piece completely around the game path.",2003-01-28,6511069,Baseball trivia game
NULL,1987-02-10,D288182,Baseball trophy
NULL,1997-11-11,D386117,Baseball trophy
None,2017-09-19,D797962,Baseball trophy candle
NULL,2000-02-15,D420493,Baseball type cap with protective flap
"A T.V camera in center field beyond the playing field directed at the home plate along a main axis. The camera senses the baseball in the strike zone. A second T.V. camera directed at the home plate in direction perpendicular to the main axis, which also senses the baseball in the strike zone, but in an area between the front end limits of the home plate. The two T.V. cameras are connected in series and serve to control the scoreboard and show on the scoreboard when the baseball in its passage by the strike zone constitutes a strike.",2003-10-21,6634967,Baseball umpiring system
"An undergarment for coactive usage with the standard form of baseball uniform which unitarily includes the slide pads, supporter and cup structure, undersocks and ankle socks. The undergarment is unitarily formed to include all accessory lower body devices so that the garment can be donned in singular operation.",1979-05-29,4156294,Baseball undergarment
NULL,2002-03-26,D454677,Baseball uniform poncho
A sports videogame such as a baseball videogame allows a user to control the release time of a pitch in order to control the timing of a break on the pitched ball. Other implementations of a baseball videogame allow a user to put extra spin on a pitched ball to thereby create a greater break on the pitch or allow the user to play in a hero mode which enables the user to control a videogame character in a series of specific game play scenarios designed to allow the user to immediately control the videogame character to perform unique skills. Game play may also be customized by allowing the user to incorporate user-created images into screens of game play and/or allow the user to incorporate recorded audio messages into game play.,2016-04-05,9302186,"Baseball videogame having pitching meter, hero mode and user customerization features"
A sports videogame such as a baseball videogame allows a user to control the release time of a pitch in order to control the timing of a break on the pitched ball. Other implementations of a baseball videogame allow a user to put extra spin on a pitched ball to thereby create a greater break on the pitch or allow the user to play in a hero mode which enables the user to control a videogame character in a series of specific game play scenarios designed to allow the user to immediately control the videogame character to perform unique skills. Game play may also be customized by allowing the user to incorporate user-created images into screens of game play and/or allow the user to incorporate recorded audio messages into game play.,2011-09-06,8012003,"Baseball videogame having pitching meter, hero mode and user customization features"
A sports videogame such as a baseball videogame allows a user to control the release time of a pitch in order to control the timing of a break on the pitched ball. Other implementations of a baseball videogame allow a user to put extra spin on a pitched ball to thereby create a greater break on the pitch or allow the user to play in a hero mode which enables the user to control a videogame character in a series of specific game play scenarios designed to allow the user to immediately control the videogame character to perform unique skills. Game play may also be customized by allowing the user to incorporate user-created images into screens of game play and/or allow the user to incorporate recorded audio messages into game play.,2014-03-04,8662974,"Baseball videogame having pitching meter, hero mode and user customization features"
A sports videogame such as a baseball videogame allows a user to control the release time of a pitch in order to control the timing of a break on the pitched ball. Other implementations of a baseball videogame allow a user to put extra spin on a pitched ball to thereby create a greater break on the pitch or allow the user to play in a hero mode which enables the user to control a videogame character in a series of specific game play scenarios designed to allow the user to immediately control the videogame character to perform unique skills. Game play may also be customized by allowing the user to incorporate user-created images into screens of game play and/or allow the user to incorporate recorded audio messages into game play.,2016-08-09,9409091,"Baseball videogame having pitching meter, hero mode and user customization features"
None,2013-09-03,D689120,Baseball vuvuzela maraca
None,2017-08-15,D794318,Baseball walking stick
None,2012-04-03,D656855,Baseball watch dial
