patent_abstract,patent_date,patent_number,patent_title
"A method of adapting a neural network of an automatic speech recognition device, includes the steps of: providing a neural network including an input stage, an intermediate stage and an output stage, the output stage outputting phoneme probabilities; providing a linear stage in the neural network; and training the linear stage by means of an adaptation set; wherein the step of providing the linear stage includes the step of providing the linear stage after the intermediate stage.",2012-02-28,8126710,Conservative training method for adapting a neural network of an automatic speech recognition device
"Various technologies described herein pertain to conservatively adapting a deep neural network (DNN) in a recognition system for a particular user or context. A DNN is employed to output a probability distribution over models of context-dependent units responsive to receipt of captured user input. The DNN is adapted for a particular user based upon the captured user input, wherein the adaption is undertaken conservatively such that a deviation between outputs of the adapted DNN and the unadapted DNN is constrained.",2015-11-03,9177550,Conservatively adapting a deep neural network in a recognition system
"Embodiments of the invention relate to a neural network circuit comprising a memory block for maintaining neuronal data for multiple neurons, a scheduler for maintaining incoming firing events targeting the neurons, and a computational logic unit for updating the neuronal data for the neurons by processing the firing events. The network circuit further comprises at least one permutation logic unit enabling data exchange between the computational logic unit and at least one of the memory block and the scheduler. The network circuit further comprises a controller for controlling the computational logic unit, the memory block, the scheduler, and each permutation logic unit.",2017-12-26,9852006,Consolidating multiple neurosynaptic core circuits into one reconfigurable memory block maintaining neuronal information for the core circuits
"Embodiments of the invention relate to a neural network system comprising a single memory block for multiple neurosynaptic core modules. One embodiment comprises a neural network system including a memory array that maintains information for multiple neurosynaptic core modules. Each neurosynaptic core module comprises multiple neurons. The neural network system further comprises at least one logic circuit. Each logic circuit receives neuronal firing events targeting a neurosynaptic core module of the neural network system, and said logic circuit integrates the firing events received based on information maintained in said memory for said neurosynaptic core module.",2015-03-24,8990130,Consolidating multiple neurosynaptic cores into one memory
"Disclosed are systems, apparatuses, and methods for implementing a phase-model neural network using a fixed amount of memory. Such a phase-model neural network includes a plurality of neurons, wherein each neuron is associated with two parameters—an activity and a phase. Example methods include (i) generating a sequence of variables associated with a probability distribution of phases and (ii) sequentially sampling the probability distribution of phases using a fixed amount of memory, regardless of a number of phases used in the phase-model neural network.",2013-08-06,8504499,Constant memory implementation of a phase-model neural network
"A color management module which provides color values in a destination color space by interpolation of a LUT that maps from color values in a source color space to corresponding color values in the destination color space. The LUT includes cells corresponding to color values within a spectrum locus and color values outside the spectrum locus. The LUT is populated differently for cells within the spectrum locus and for those outside the spectrum locus. For cells within the spectrum locus, color values are calculated using a color transform constructed based on device profiles for the source device and for the destination device, and corresponding cells of the LUT are populated based on the calculated values. For cells outside of the spectrum locus, an artificial neural network is trained using the calculated color values, and the corresponding cells are populated based on outputs of the trained neural network.",2012-07-10,8218865,Constructing a color transform using a neural network for colors outside the spectrum locus
"The contamination level estimation method for high voltage insulators collects samples of naturally contaminated insulators and builds an image data set for the collected insulators. Flashover voltages of several insulators samples are measured. ESDD levels of the collected insulators are estimated. Images are input to image processing algorithms to extract representative features. The images are segmented. Transforming the image from RGB color space into grayscale model excludes the background from the image. Subsequently, the segmented images are transferred back to RGB color space model using matrix manipulation. Since contaminants on the insulator surface affect the color of the insulator, the segmented image is transformed from RGB to HSV color space which is used for extracting statistical and linear algebraic features from the hue image. A trained artificial neural network correlates the extracted features to the contamination levels enabling testing of other contaminated insulators.",2016-07-05,9384560,Contamination level estimation method for high voltage insulators
"The present disclosure relates to applying techniques similar to those used in neural network language modeling systems to a content recommendation system. For example, by associating consumed media content to words of a language model, the system may provide content predictions based on an ordering. Thus, the systems and techniques described herein may produce enhanced prediction results for recommending content (e.g. word) in a given sequence of consumed content. In addition, the system may account for additional user actions by representing particular actions as punctuation in the language model.",2017-01-03,9535897,Content recommendation system using a neural network language model
"The present disclosure relates to applying techniques similar to those used in neural network language modeling systems to a content recommendation system. For example, by associating consumed media content to words of a language model, the system may provide content predictions based on an ordering. Thus, the systems and techniques described herein may produce enhanced prediction results for recommending content (e.g. word) in a given sequence of consumed content. In addition, the system may account for additional user actions by representing particular actions as punctuation in the language model.",2018-04-03,9934515,Content recommendation system using a neural network language model
"A system and method for generating context vectors for use in storage and retrieval of documents and other information items. Context vectors represent conceptual relationships among information items by quantitative means. A neural network operates on a training corpus of records to develop relationship-based context vectors based on word proximity and co-importance using a technique of “windowed co-occurrence”. Relationships among context vectors are deterministic, so that a context vector set has one logical solution, although it may have a plurality of physical solutions. No human knowledge, thesaurus, synonym list, knowledge base, or conceptual hierarchy, is required. Summary vectors of records may be clustered to reduce searching time, by forming a tree of clustered nodes. Once the context vectors are determined, records may be retrieved using a query interface that allows a user to specify content terms, Boolean terms, and/or document feedback. The present invention further facilitates visualization of textual information by translating context vectors into visual and graphical representations. Thus, a user can explore visual representations of meaning, and can apply human visual pattern recognition skills to document searches.",2007-07-31,7251637,Context vector generation and retrieval
"A processing system receives an audio signal encoding a portion of an utterance. The processing system receives context information associated with the utterance, wherein the context information is not derived from the audio signal or any other audio signal. The processing system provides, as input to a neural network, data corresponding to the audio signal and the context information, and generates a transcription for the utterance based on at least an output of the neural network.",2016-04-12,9311915,Context-based speech recognition
"Methods, systems, and apparatus, including computer programs encoded on computer storage media for modeling phonemes. One method includes receiving an acoustic sequence, the acoustic sequence representing an utterance, and the acoustic sequence comprising a respective acoustic feature representation at each of a plurality of time steps; for each of the plurality of time steps: processing the acoustic feature representation through each of one or more recurrent neural network layers to generate a recurrent output; processing the recurrent output using a softmax output layer to generate a set of scores, the set of scores comprising a respective score for each of a plurality of context dependent vocabulary phonemes, the score for each context dependent vocabulary phoneme representing a likelihood that the context dependent vocabulary phoneme represents the utterance at the time step; and determining, from the scores for the plurality of time steps, a context dependent phoneme representation of the sequence.",2017-11-14,9818409,Context-dependent modeling of phonemes
"The technology described herein can be embodied in a method that includes receiving an audio signal encoding a portion of an utterance, and providing, to a first neural network, data corresponding to the audio signal. The method also includes generating, by a processor, data representing a transcription for the utterance based on an output of the first neural network. The first neural network is trained using features of multiple context-dependent states, the context-dependent states being derived from a plurality of context-independent states provided by a second neural network.",2017-04-11,9620145,Context-dependent state tying using a neural network
"A search engine is described herein for providing search results based on a context in which a query has been submitted, as expressed by context information. The search engine operates by ranking a plurality of documents based on a consideration of the query, and based, in part, on a context concept vector and a plurality of document concept vectors, both generated using a deep learning model (such as a deep neural network). The context concept vector is formed by a projection of the context information into a semantic space using the deep learning model. Each document concept vector is formed by a projection of document information, associated with a particular document, into the same semantic space using the deep learning model. The ranking operates by favoring documents that are relevant to the context within the semantic space, and disfavoring documents that are not relevant to the context.",2017-01-03,9535960,Context-sensitive search using a deep learning model
"A cardiac catheter continuously monitors cardiac output within an artery. One temperature sensor measures native blood temperature within the artery, while another temperature sensor measures the temperature of a thermal coil which is in thermal contact with the blood stream. The temperature signals are provided as inputs to a monitoring system which includes isolators, filters, and data processing circuits. A temperature difference signal over time is generated between the native blood temperature and the thermal coil temperature. First and second derivatives are taken of the temperature difference signal and selected features are extracted from the three waveforms. The extracted features are used as to calculate cardiac output. In the present case, a neural network processor is utilized to provide accurate cardiac output measurements based upon the extracted features.",1996-04-23,5509424,Continuous cardiac output monitoring system
"Certain aspects of the present disclosure provide methods and apparatus for a continuous-time neural network event-based simulation that includes a multi-dimensional multi-schedule architecture with ordered and unordered schedules and accelerators to provide for faster event sorting; and a formulation of modeling event operations as anticipating (the future) and advancing (update/jump ahead/catch up) rules or methods to provide a continuous-time neural network model. In this manner, the advantages include faster simulation of spiking neural networks (order(s) of magnitude); and a method for describing and modeling continuous time neurons, synapses, and general neural network behaviors.",2015-04-21,9015096,Continuous time spiking neural network event-based simulation that schedules co-pending events using an indexable list of nodes
"An all-optical, continuous-time, recurrent neural network is disclosed which is capable of executing a broad class of energy-minimizing neural net algorithms. The network is a resonator which contains a saturable, two-beam amplifier; two volume holograms; and a linear, two-beam amplifier. The saturable amplifier permits, through the use of a spatially patterned signal beam, the realization of a two-dimensional optical neuron array; the two volume holograms provide adaptive, global network interconnectivity; and the linear amplifier supplies sufficient resonator gain to permit convergent operation of the network.",1992-03-24,5099434,Continuous-time optical neural network
"An all-optical, continuous-time, recurrent neural network is disclosed which is capable of executing a broad class of energy-minimizing neural net algorithms. The network is a resonator which contains a saturable, two-beam amplifier; two volume holograms; and a linear, two-beam amplifier. The saturable amplifier permits, through the use of a spatially patterned signal beam, the realization of a two-dimensional optical neuron array; the two volume holograms provide adaptive, global network interconnectivity; and the linear amplifier supplies sufficient resonator gain to permit convergent operation of the network.",1992-07-21,5132835,Continuous-time optical neural network process
A computer-based multi-layer artificial network named Continuous-weight neural network (CWNN) configured to receive an input feature set wherein the input feature set comprises a variable number of features is disclosed. A method for classifying input sets based on a trained CWNN is also disclosed. Various implementation examples are also provided.,2016-03-22,9292789,Continuous-weight neural networks
"A control system is provided to enable pavement line marking apparatus to refurbish old lines on a pavement surface. The control system has at least one old line detector adapted to scan a predetermined width of the pavement surface while being carried forwardly along the pavement. The old line detector is capable of recognizing old line pattern transition points as taught by a neural network and in response to such recognition, control activation of new line material applicators to repeat accurately said line pattern changes.",1995-10-10,5456548,Control apparatus for line marking machines
"An adaptive feed forward control circuit and power supply for a television comprises a circuit for supplying energy from a source to a load, the load having energy requirements which vary in response to an input signal, for example a video signal. A feedback circuit generates a first correction signal indicative of a difference between an operating voltage or current level and a reference level. A neural network generates a second correction signal indicative of anticipated energy requirement variation by processing information in present values of the input signal. A control circuit, for example a pulse width modulating circuit, is responsive to the correction signals for controlling operation of the energy supplying circuit. The first and second correction signals are combined by a summing circuit. The neural network comprises a first signal adaptive circuit for the input signal and a second signal adaptive circuit for a processed version of the input signal. The processed input signal is linearly independent of the input signal to avoid redundancy in the weight factors. The square root of the input signal, for example, is appropriate for a switched mode power supply. The combination of outputs from the first and second signal adaptive circuits defines the second correction signal. A microprocessor can embody the neural network and provide the processed version of the input signal. The microprocessor can also embody the feedback circuit. The predictive correction signal can be adjusted responsive to the size and polarity of the energy requirement variation.",1993-11-02,5258903,Control circuit and power supply for televisions
"A control device for controlling the learning of a neural netowrk includes a monitor for monitoring weight values of synapse connections between units of the neural netowrk during learning of the neural network so as to update these weight values. When one of the weight values satisfies a preset condition, the weight value is updated to a predetermined value such that configuration of the neural network is determined in an optimum manner.",1993-03-16,5195169,Control device for controlling learning of a neural network
"A control method of controlling a controlled system according to the invention comprises the first step of inputting a current and future target controlled variable to a first neural network model which performs learning using a past target controlled variable for the controlled system as an input signal and a past manipulated variable as a teacher signal, thereby obtaining a current virtual manipulated variable, the second step of causing a second neural network model, which have learnt to predict a behavior of the controlled system, to receive the virtual manipulated variable obtained in the first step and a controlled variable obtained from the controlled system at a current time, thereby obtaining a predicted controlled variable, the third step of obtaining an error of the predicted controlled variable obtained in the second step with respect to the target controlled variable, the fourth step of obtaining a correction amount for the virtual manipulated variable in accordance with a back propagation calculation of the second neural network model, using the error obtained in the third step, thereby correcting the virtual manipulated variable with the correction amount, and the fifth step of outputting the virtual manipulated variable corrected in the fourth step to the controlled system.",1996-10-15,5566275,Control method and apparatus using two neural networks
"A neural network apparatus and method for use in applications such as in a voltage/reactive-power controller in which a neuro control-object simulator and a neuro controller pre-learn so as to make input-output relations of the controller match the input-output relations of a control unit and so as to make input-output relations of the simulator match input-output relations of a control object. The controller re-learns so as to make the output of the simulator match an input corresponding to a desired output of the control object. After re-learning, the controller controls the control-object.",1996-01-16,5485545,Control method using neural networks and a voltage/reactive-power controller for a power system using the control method
"A system for controlling operation of engine fuel injectors that includes a feed-forward control unit responsive to signals from sensors on the engine for supplying a basic electronic control signal for the injectors. A neural network is connected in parallel with the feed-forward control unit for receiving the sensor signals and multiplying the sensor signals by associated weighting factors. The sensor signals multiplied by the weighting factors are combined to produce a network output signal, which in turn is combined with the basic control signal from the feed-forward control unit to control operation of the fuel injectors. The weighting factors in the neural network are modified as a function of inputs from the engine sensors so as to reduce any errors in the sensor output signals as compared with desired values.",1998-09-08,5806013,Control of engine fuel delivery using an artificial neural network in parallel with a feed-forward controller
"A process for induction hardening a part to a desired depth with an AC signal applied to the part from a closely coupled induction coil includes measuring the voltage of the AC signal at the coil and the current passing through the coil; and controlling the depth of hardening of the part from the measured voltage and current. The control system determines parameters of the part that are functions of applied voltage and current to the induction coil, and uses a neural network to control the application of the AC signal based on the detected functions for each part.",1997-05-20,5630957,Control of power to an inductively heated part
"An integrated metrology and lithography/etch system and method (10) for micro-electronics device manufacturing. A process control neural network (30) is used to develop an estimated process control parameter (32) for controlling an etching process (28). The process control neural network is responsive to a multi-parameter characterization of a patterned resist feature MPC(PR) (16) developed on a substrate. The process control parameter is used as a feed-forward control for the etching process to develop an actual final mask feature. A multi-parameter characterization of the actual final mask feature MPC(HM) (36) is used as an input to a training neural network (40) for mapping to an ideal process control parameter. The ideal process control parameter is compared to the estimated control parameter to develop an error parameter (46), which is then used to train the process control neural network.",2003-11-04,6641746,Control of semiconductor processing
"A feedback control system for automatic on-line training of a controller for a plant, the system having a reinforcement learning agent connected in parallel with the controller. The learning agent comprises an actor network and a critic network operatively arranged to carry out at least one sequence of a stability phase followed by a learning phase. During the stability phase, a multi-dimensional boundary of values is determined. During the learning phase, a plurality of updated weight values is generated in connection with the on-line training, if and until one of the updated weight values reaches the boundary, at which time a next sequence is carried out to determine a next multi-dimensional boundary of values followed by a next learning phase. Also, a method for automatic on-line training of a feedback controller within a system comprising the controller and a plant by employing a reinforcement learning agent comprising a neural network to carry out at least one sequence comprising a stability phase followed by a learning phase. Further included, a computer executable program code on a computer readable storage medium, for on-line training of a feedback controller within a system comprising the controller and a plant.",2003-12-16,6665651,Control system and technique employing reinforcement learning having stability and learning phases
"A total control system for an automotive vehicle assures vehicular behavior precisely following to a driver's demand for variation of driving environment and provide smooth transition in variation of the driving environment. The system includes a driving environment index predicting section predicting vehicular driving environment on the basis of a driving operation indicative amount, such as an accelerator depression magnitude, a brake depression magnitude, a steering angular position and so forth and a vehicular condition indicative amount, such as an engine speed, a vehicle speed, a longitudinal acceleration and so forth. Based on the driving environment index derived by the predicting section, local control channels of the automotive vehicle are controlled. The driving environment index predicting section predicts the driving environment index by neural network or so forth to transfer to the local control channels though a vehicular local area network or a common memory. Accordingly, variable control corresponding to the driving environment in the local control channels can be realized.",1995-04-25,5410477,Control system for an automotive vehicle having apparatus for predicting the driving environment of the vehicle
"A control system for an automatic transmission, which can easily achieve a variety of shift patterns according to the taste of a driver and the road conditions. The control system includes: a neural network; and a mode switch for selecting either a teaching mode or an automatic mode. The neural network learns in the teaching mode and neuro-computes to output a gear ratio in the automatic mode. Tolerance error is computed from at least one of a propriety of a teaching gear ratio, a compatibility of an input value and a compatibility of the teaching gear ratio. A learning pattern is produced during the teaching mode for correcting load factors of the neural network which, in the automatic mode, outputs a gear ratio used to determine shifting of the transmission.",1996-05-21,5519610,Control system for automatic transmissions with teaching and automatic modes using a neural network
A control system for a countercurrent pulp washing process in which the pulp is formed as a pulp mat on at least one moving filter surface and the mat is supplied with rinse water to replace water in the pulp mat thereby reducing the soda loss in the mat before it is removed from the filter surface. The process is characterized by at least one predictable process variable including dissolved solids retained in the pulp mat. The system comprises a trainable neural network having a plurality of input neurons having input values applied thereto and output neurons for providing output values and means for training the neural network to provide predicted values for the predictable process variables.,1994-01-25,5282131,Control system for controlling a pulp washing system using a neural network controller
"An improved arc furnace regulator employs neural circuits connected in a multi-layer network configuration with various weighted relationships between the successive layers which are automatically changed over time as a function of an error signal by means of the back-propagation method so that the regulator gradually improves its control algorithm as a result of accumulated experience. The network is implemented in software which can be developed and run on a PC with extra co-computing capability for greater execution speed. A second trainable neural network which emulates the arc furnace is used to develop the error signal, and is trained in mutually exclusive time periods with the training of the regular network.",1993-04-20,5204872,Control system for electric arc furnace
"An improved arc furnace regulator employs neural circuits connected in a multi-layer network configuration with various weighted relationships between the successive layers which are automatically changed over time as a function of an error signal by means of the back-propagation method so that the regulator gradually improves its control algorithm as a result of accumulated experience. The network is implemented in software which can be developed and run on a PC with extra co-computing capability for greater execution speed. A second trainable neural network which emulates the arc furnace is used to develop the error signal, and is trained in mutually exclusive time periods with the training of the regular network.",1995-04-11,5406581,Control system for electric arc furnace
A control system for an internal combustion engine having an exhaust gas recirculation device for recirculating a part of exhaust gases to an intake system of the engine is disclosed. An estimated exhaust gas recirculation amount is calculated using a neural network to which at least one engine operating parameter indicative of an operating condition of the engine is input. The neural network outputs an estimated value of an amount of exhaust gases recirculated by the exhaust gas recirculation device. At least one engine control parameter for controlling the engine is calculated based on the estimated exhaust gas recirculation amount.,2010-09-07,7792631,Control system for internal combustion engine
"A control system for a plant e.g. as a non-linear system, which is capable of properly suppressing interaction occurring between a plurality of control inputs and a plurality of controlled variables, thereby making it possible to properly control the controlled variables and easily design the control system. In the control system, each of a plurality of interaction suppression parameters for correcting the control inputs, respectively, such that the interaction is suppressed is calculated using a neural network constructed by using, out of the plurality of control inputs, a control input other than a control input corrected by a calculated interaction suppression parameter, as an input, and the interaction suppression parameter as an output.",2014-06-24,8762307,Control system for plant
"A control system having four major components: a target optimizer, a path optimizer, a neural network adaptation controller and a neural network. In the target optimizer, the controlled variables are optimized to provide the most economically desirable outputs, subject to operating constraints. Various manipulated variable and disturbance values are provided for modeling purposes. The neural network receives as inputs a plurality of settings for each manipulated and disturbance variable. For target optimization all the neural network input values are set equal to produce a steady state controlled variable value. The entire process is repeated with differing manipulated variable values until an optimal solution develops. The resulting target controlled and manipulated variable values are provided to the path optimizer to allow the manipulated variables to be adjusted to obtain the target output. Various manipulated variable values are developed to model moves from current to desired values. In this case trend indicating values of the manipulated and disturbance variables are provided to produce time varying values of the controlled variables. The process is repeated until an optimal path is obtained, at which time the manipulated variable values are applied to the actual process. On a periodic basis all of the disturbance, manipulated and controlled variables are sampled to find areas where the training of the neural network is sparse or where high dynamic conditions are indicated. These values are added to the set of values used to train the neural network.",1995-12-19,5477444,"Control system using an adaptive neural network for target and path optimization for a multivariable, nonlinear process"
"A control system having four major components: a target optimizer, a path optimizer, a neural network adaptation controller and a neural network. In the target optimizer, the controlled variables are optimized to provide the most economically desirable outputs, subject to operating constraints. Various manipulated variable and disturbance values are provided for modeling purposes. The neural network receives as inputs a plurality of settings for each manipulated and disturbance variable. For target optimization all the neural network input values are set equal to produce a steady state controlled variable value. The entire process is repeated with differing manipulated variable values until an optimal solution develops. The resulting target controlled and manipulated variable values are provided to the path optimizer to allow the manipulated variables to be adjusted to obtain the target output. Various manipulated variable values are developed to model moves from current to desired values. In this case trend indicating values of the manipulated and disturbance variables are provided to produce time varying values of the controlled variables. The process is repeated until an optimal path is obtained, at which time the manipulated variable values are applied to the actual process. On a periodic basis all of the disturbance, manipulated and controlled variables are sampled to find areas where the training of the neural network is sparse or where high dynamic conditions are indicated. These values are added to the set of values used to train the neural network.",1997-06-17,5640491,"Control system using an adaptive neural network for target and path optimization for a multivariable, nonlinear process"
"A neural network is trained with a general set of data to function as a general model of a machine or process with local condition inputs set equal to zero. The network is then retrained or receives additional training on an extentd data set containing the general set of data, characterized by zero values for the local condition inputs, and data on specific local conditions, characterized by non-zero values for the local condition inputs. The result is a trained neural network which functions as a general model when the inputs for the local conditions inputs are set equal to zero, and which functions as a model of some specific local condition when the local condition inputs match the encoding of the some local data set contained within the training data. The neural network has an architecture and a number of neurons such that its functioning as the local model is partially dependent upon its functioning as the general model. This trained neural network is combined with sensors, actuators, a control and communications computer and with a user interface to function as combine control system.",1996-12-17,5586033,Control system with neural network trained as general and local models
A control unit for an internal combustion engine that compensates for variations in injection valve flow rate characteristics by detecting an operation status of the engine and then using this status information to calculate a supply air amount or supply fuel amount in accordance with the detected status. Exhaust gas constituents are detected and then used to correct the calculated supply air or supply fuel amount. The control unit compares the exhaust gas constituents with predetermined values and then uses a neural network to control the supply air amount or supply fuel amount to make any deviation between the exhaust gas constituents and the predetermined value approach zero.,1993-09-21,5247445,Control unit of an internal combustion engine control unit utilizing a neural network to reduce deviations between exhaust gas constituents and predetermined values
"A system for tuning a process control loop includes a tuner module for receiving an error signal representative of the difference between a set point and a process variable, the module generating a first process control signal for controlling the process. The system further includes a controller module for receiving the error signal and a parameter signal from a nonlinear module to generate a second process control signal for controlling the process, wherein the nonlinear module applies a nonlinear procedure to generate the parameter signal. The system further includes a switching means coupled to the tuner module and the controller module to select the appropriate process control signal for controlling the process. The system provided uses nonlinear techniques in the nonlinear module to approximate the desired controller tuning parameters. The nonlinear techniques include neural network tuning, fuzzy logic tuning and nonlinear functions, including sigmoid tuning. A system also provides that the nonlinear module use nonlinear techniques to approximate the desired process model parameters. According to an embodiment of the present invention, the nonlinear module includes a process model identification module and a controller tuning module that provides controller parameters and model identification parameters using neural networks, fuzzy logic and nonlinear functions, including sigmoid tuning.",2005-01-25,6847954,Control-loop auto-tuner with nonlinear tuning rules estimators
"Control-type continuous ramp converting apparatus and method therefore. The present invention provides real-time processing of neurons in the neural network, easy implementation and reduction of manufacture cost of high density neurons in the neural network. The present invention comprises a first voltage controlling part for receiving a first voltage from an outside, and for non-linearly increasing a charged voltage in accordance with a differential continuous function of an exponential function; a second voltage controlling part for receiving a second voltage from an outside, and for non-linearly reducing a charged voltage in accordance with a differential continuous function of an exponential function; a charging part for charging an input current, and for providing the charged voltage of the charging part with the second voltage controlling part and an outside; and a plurality of switches for coupling outside and the first and the second voltage controlling part to the charging part, for selectively providing a third voltage from outside, an increased voltage and a decreased voltage based on the voltage of the charging part.",1999-07-06,5920212,Control-type continuous ramp converting apparatus and method therefore
"A controller for a plant that controls a controlled variable for the plant in accordance with estimated values, allowing to reduce any error in the estimated values that is caused by solid variation or aging of the plant. A controller for an exhaust emission control system has an estimated Inert-EGR value calculation section (711) to calculate the estimated value IEGRHAT for the Inert-EGR amount on the basis of an input vector U through a neural network, an estimated LAF sensor output value calculation section (712) to calculate the estimated value ΦHAT for an exhaust air-fuel ratio correlating with the Inert-EGR amount on the basis of the input vector U through the neural network, an LAF sensor (34) to detect the exhaust air-fuel ratio, and a nonlinear adaptive corrector (713) to calculate the adaptive input UVNS such that the estimated error EHAT between the detected value ΦACT from the LAF sensor (34) and the estimated output value ΦHAT of the LAF sensor (34) is minimized.",2015-02-24,8965664,Controller for plant
"A gas turbine control system includes a controller that is coupled to actuator systems that govern operation of the gas turbine. The controller includes a processor for generating respective actuator control signals in correspondence with a plurality of turbine operating condition signals; the controller includes at least one neural network estimator that is trained to generate an estimated turbine operating condition signal. The neural network estimator typically has one or more hidden neuron layers that are coupled together in a feedforward structure, a recurrent neural network architecture. The estimated turbine operating condition signal generated by the neural network estimator typically, but not necessarily, represents a turbine internal cycle operating parameter for which the turbine has no corresponding operating parameter sensor.",1999-01-12,5857321,Controller with neural network for estimating gas turbine internal cycle parameters
"A method for controlling a turbine is proposed, which is characterized at any point in the control by a hidden state. The dynamic behavior of the turbine is modeled with a recurrent neural network comprising a recurrent hidden layer. In this case, the recurrent hidden layer is formed from vectors of neurons, which describe the hidden state of the turbine at the time points of the regulation, wherein two vectors are chronologically linked for each time point with a first connection bridging a time and second connection bridging at least two points in time. Short-term effects can be controlled by means of the first connections and long-term effects can be adjusted by means of the second connections. Secondly, emissions and also occurring dynamics in the turbine can be minimized. Furthermore, a regulating device and a turbine with such a regulating device are proposed.",2017-05-02,9639070,Controlling a turbine with a recurrent neural network
"A flow of packets is communicated through a data center including an electrical switch, an optical switch, and multiple racks each including multiple network devices. The optical switch can be controlled to receive packet traffic from a network device via a first optical link and to output that packet traffic to another network device via a second optical link. One network device includes a neural network that analyzes received packets of the flow. The optical switch is controlled to switch based on a result of the analysis performed. In one instance, the optical switch is controlled such that immediately prior to the switching no packet traffic passes from the first optical link and through the optical switch and to the second optical link but such that after the switching packet traffic does pass from the first optical link and through the optical switch and to the second optical link.",2017-09-05,9755948,Controlling an optical bypass switch in a data center based on a neural network output result
A neural model for simulating a scorecard comprises a neural network for transforming one or more inputs into an output. Each input of the neural model has a squashing function applied thereto for simulating a bin of the simulated scorecard. The squashing function includes a control variable for controlling the steepness of the response to the squashing function's input so that during training of the neural model the steepness can be controlled. The output of the neural model represents the score of the simulated scorecard. The neural network is trained to behave like a scorecard by providing plurality of example values to the inputs of the neural network. Each output score produced is compared to an expected score to produce an error value. Each error value is back-propagated to adjust the neural network transformation to reduce the error value. The steepness of each squashing function is controlled using the respective control variable to affect the response of each squashing function.,2009-08-18,7577624,Convergent construction of traditional scorecards
"A convolutional neural network (CNN) for an image processing system comprises an image cache responsive to a request to read a block of N×M pixels extending from a specified location within an input map to provide a block of N×M pixels at an output port. A convolution engine reads blocks of pixels from the output port, combines blocks of pixels with a corresponding set of weights to provide a product, and subjects the product to an activation function to provide an output pixel value. The image cache comprises a plurality of interleaved memories capable of simultaneously providing the N×M pixels at the output port in a single clock cycle. A controller provides a set of weights to the convolution engine before processing an input map, causes the convolution engine to scan across the input map by incrementing a specified location for successive blocks of pixels and generates an output map within the image cache by writing output pixel values to successive locations within the image cache.",2017-05-30,9665799,Convolutional neural network
"A convolutional neural network is trained to analyze input data in various different manners. The convolutional neural network includes multiple layers, one of which is a convolution layer that performs a convolution, for each of one or more filters in the convolution layer, of the filter over the input data. The convolution includes generation of an inner product based on the filter and the input data. Both the filter of the convolution layer and the input data are binarized, allowing the inner product to be computed using particular operations that are typically faster than multiplication of floating point values. The possible results for the convolution layer can optionally be pre-computed and stored in a look-up table. Thus, during operation of the convolutional neural network, rather than performing the convolution on the input data, the pre-computed result can be obtained from the look-up table.",2017-02-07,9563825,Convolutional neural network using a binarized convolution layer
